Time,Disp,Force,CrackLen,CrackExt,G_I
244.2,18.61717406,72.12997796,75.79153595,38.76432489,0.940808554
244.4,18.63391045,72.14461261,75.82710369,38.79989263,0.941459846
244.6,18.64762346,72.01298978,75.88934722,38.86213616,0.93976061
244.8,18.66597254,72.30546024,75.89823916,38.8710281,0.944409209
245,18.68416581,72.11534332,75.93380689,38.90659583,0.942458629
245.2,18.70055215,72.08607403,75.99605043,38.96883937,0.942228213
245.4,18.71609788,72.02757994,75.99605043,38.96883937,0.942246281
245.6,18.73395992,72.07148387,76.0138343,38.98662324,0.943527685
245.8,18.7521564,71.95440672,76.0671859,39.03997484,0.942332583
246,18.77052208,71.91050279,76.12942944,39.10221838,0.942007025
246.2,18.78523039,71.95440672,76.18278104,39.15556998,0.942743911
246.4,18.80259513,71.93977208,76.27170038,39.24448932,0.942462929
246.6,18.82185293,71.69111658,76.38729552,39.36008446,0.938924585
246.8,18.84103821,71.76424532,76.46732292,39.44011186,0.939980195
247,18.85745641,71.6910721,76.58291806,39.555707,0.938600514
247.2,18.87292766,71.64725713,76.65405353,39.62684247,0.938035149
247.4,18.89011809,71.74965515,76.68072933,39.65351827,0.939945575
247.6,18.90993389,71.41319179,76.74297287,39.71576181,0.935855309
247.8,18.92570254,71.51558982,76.76964867,39.74243761,0.937693858
248,18.94059032,71.50095517,76.81410834,39.78689728,0.937764779
248.2,18.95890243,71.45709572,76.85856801,39.83135695,0.937621277
248.4,18.97731049,71.50099966,76.89413574,39.86692468,0.938728555
248.6,18.99486584,71.32542841,76.92970348,39.90249242,0.936910902
248.8,19.00924192,71.51558982,76.96527121,39.93806015,0.939739946
249,19.02650542,71.61798784,76.97416315,39.94695209,0.941845016
249.2,19.04532439,71.60339768,77.00973088,39.98251982,0.942203874
249.4,19.06365973,71.73497603,77.00973088,39.98251982,0.944844013
249.6,19.07919235,71.53022446,77.02751475,40.00030369,0.942724452
249.8,19.0958159,71.36933234,77.13421796,40.1070069,0.940284602
250,19.11485235,71.61798784,77.17867762,40.15146656,0.944025377
250.2,19.13332944,71.51558982,77.23202923,40.20481817,0.943016709
250.4,19.15159179,71.61798784,77.24092116,40.2137101,0.945173141
250.6,19.16487815,71.5448591,77.29427276,40.2670617,0.94429256
250.8,19.18220211,71.53026894,77.33873243,40.31152137,0.944478171
251,19.20107981,71.5448591,77.34762437,40.32041331,0.945505391
251.2,19.21823776,71.55953823,77.3831921,40.35598104,0.94616382
251.4,19.23391286,71.74961067,77.39208404,40.36487298,0.949355302
251.6,19.25088214,71.61798784,77.42765177,40.40044071,0.948068565
251.8,19.26960686,71.48636501,77.44543564,40.41822458,0.947056297
252,19.28821233,71.64721265,77.46321951,40.43600845,0.949912831
252.2,19.30297603,71.53022446,77.49878724,40.47157618,0.94870652
252.4,19.31935862,71.41323627,77.51657111,40.48936005,0.947768447
252.6,19.33835874,71.36928786,77.52546304,40.49825198,0.948021551
252.8,19.35731001,71.29615912,77.53435498,40.50714392,0.947883112
253,19.37212651,71.39860163,77.58770658,40.56049552,0.949399961
253.2,19.3864296,71.28156896,77.67662592,40.64941486,0.947593139
253.4,19.40451993,71.04750363,77.68551785,40.65830679,0.945268174
253.6,19.42345537,71.12067685,77.70330172,40.67609066,0.946975337
253.8,19.44032935,71.09136308,77.71219365,40.68498259,0.947312469
254,19.45594609,70.95974025,77.74776139,40.72055033,0.945939159
254.2,19.47334667,70.72567491,77.77443719,40.74722613,0.943378781
254.4,19.49319437,70.71108475,77.78332912,40.75611806,0.944050995
254.6,19.51027906,70.59405208,77.86335653,40.83614547,0.942465655
254.8,19.52438865,70.21368479,77.8811404,40.85392934,0.937877913
255,19.54109829,69.93576,77.9078162,40.88060514,0.934684708
255.2,19.56021932,69.61397577,77.95227587,40.92506481,0.930829342
255.4,19.57696631,69.35064114,77.97005973,40.94284867,0.927916776
255.6,19.58919382,69.43840452,78.07676294,41.04955188,0.928558532
255.8,19.60797295,69.3360065,78.08565487,41.05844381,0.927985505
256,19.62827621,69.45303917,78.12122261,41.09401155,0.930143279
256.2,19.64572342,69.26287776,78.13900648,41.11179542,0.928235992
256.4,19.66031572,69.40917972,78.16568228,41.13847122,0.93060931
256.6,19.67684273,69.51153326,78.21014195,41.18293089,0.93230055
256.8,19.69600676,69.26287776,78.23681775,41.20960669,0.929592529
257,19.71576815,69.35059666,78.26349355,41.23628249,0.931425452
257.2,19.73057963,69.32137186,78.29906128,41.27185022,0.931361544
257.4,19.74674814,69.23360847,78.30795322,41.28074216,0.930852036
257.6,19.76360597,69.21897383,78.35241289,41.32520183,0.930986643
257.8,19.78333551,69.20438367,78.37019675,41.34298569,0.931534325
258,19.80264503,69.26287776,78.38798062,41.36076956,0.933046151
258.2,19.81852495,69.32141634,78.43244029,41.40522923,0.934119307
258.4,19.83268261,69.13125493,78.45022416,41.4230131,0.932037114
258.6,19.85125169,69.27751241,78.48579189,41.45858083,0.934512161
258.8,19.87050642,69.17511438,78.49468383,41.46747277,0.933943228
259,19.88660011,69.23365296,78.53025156,41.5030405,0.93511926
259.2,19.9013388,69.21901831,78.57471123,41.54750017,0.935150451
259.4,19.92072205,69.07271636,78.60138703,41.57417597,0.933804899
259.6,19.9391315,69.2482876,78.66363057,41.63641951,0.936393616
259.8,19.95744015,69.18974903,78.72587411,41.69866305,0.935811977
260,19.97209369,69.13121045,78.74365797,41.71644691,0.935521466
260.2,19.98936771,69.36532027,78.77922571,41.75201465,0.939129517
260.4,20.00890171,69.14584509,78.80590151,41.77869045,0.936794753
260.6,20.02800401,69.45299469,78.84146925,41.81425819,0.941481762
260.8,20.04471618,69.20433919,78.88592892,41.85871786,0.938429805
261,20.06017955,69.33605098,78.92149665,41.89428559,0.940569264
261.2,20.07652196,69.01422226,78.95706439,41.92985333,0.936596039
261.4,20.09878026,69.01426675,78.98374019,41.95652913,0.937357259
261.6,20.1128119,68.95572817,79.01930792,41.99209686,0.936845991
261.8,20.12508736,68.79479157,79.09044339,42.06323233,0.934492001
262,20.1407711,68.67784787,79.09933533,42.07212427,0.933538415
262.2,20.16421227,68.76556677,79.17936273,42.15215167,0.93498881
262.4,20.17999608,68.60458568,79.23271433,42.20550327,0.932978584
262.6,20.19405585,68.32674986,79.2238224,42.19661134,0.929939159
262.8,20.2119273,68.53150143,79.3038498,42.27663874,0.932724594
263,20.23197159,68.54609159,79.39276914,42.36555808,0.932930388
263.2,20.25053034,68.42910341,79.39276914,42.36555808,0.932192462
263.4,20.26476017,68.44369357,79.43722881,42.41001775,0.932588038
263.6,20.28284791,68.56072624,79.45501268,42.42780162,0.934832809
263.8,20.2991456,68.37060931,79.49058041,42.46336935,0.932623167
264,20.31938402,68.44373805,79.50836428,42.48115322,0.934368025
264.2,20.33654661,68.57540536,79.52614815,42.49893709,0.936772288
264.4,20.35031438,68.34138451,79.53504008,42.50782902,0.934115793
264.6,20.36722345,68.42910341,79.60617555,42.57896449,0.935357516
264.8,20.38714384,68.23898648,79.66841909,42.64120803,0.933030601
265,20.40366171,68.31207074,79.69509489,42.66788383,0.934511893
265.2,20.41999428,68.26821129,79.71287876,42.6856677,0.93447636
265.4,20.43604289,68.10727469,79.73955456,42.7123435,0.932732017
265.6,20.45620262,68.10736365,79.78401423,42.75680317,0.933196447
265.8,20.47596488,68.06341524,79.87293357,42.84572251,0.932582456
266,20.49161086,68.26821129,79.89071744,42.86350638,0.935920219
266.2,20.50668394,68.31207074,79.89071744,42.86350638,0.937210388
266.4,20.52453477,68.13654398,79.92628517,42.89907411,0.935250252
266.6,20.54381871,68.15126758,79.97074484,42.94353378,0.935873977
266.8,20.56022576,68.06341524,80.00631257,42.97910151,0.935048698
267,20.5753715,68.09268453,80.02409644,42.99688538,0.935957131
267.2,20.59396736,68.18044791,80.07744805,43.05023699,0.937461391
267.4,20.61120885,68.18044791,80.10412385,43.07691279,0.937971716
267.6,20.63174529,68.01951131,80.09523191,43.06802085,0.936781409
267.8,20.64266818,68.26825577,80.13969158,43.11248052,0.940246378
268,20.66355912,68.238942,80.15747545,43.13026439,0.940610383
268.2,20.6814699,68.0487806,80.21082705,43.18361599,0.938253477
268.4,20.70007531,68.15117862,80.21082705,43.18361599,0.940510676
268.6,20.71578503,68.03414595,80.26417866,43.2369676,0.939059242
268.8,20.73127012,68.06341524,80.29085446,43.2636434,0.939890962
269,20.74979756,67.82943887,80.41534153,43.38813047,0.936221308
269.2,20.76869978,67.8001251,80.42423346,43.3970224,0.936578157
269.4,20.78626252,67.82939439,80.47758507,43.45037401,0.937228282
269.6,20.80054528,67.74158652,80.49536893,43.46815787,0.936476234
